 cookie=0x0, duration=20.865s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48213,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.865s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48214,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.865s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48215,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.864s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48216,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.864s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48217,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.864s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48218,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.864s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48219,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.864s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48220,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.864s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48221,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.864s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48222,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.864s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48223,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.864s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48224,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.863s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48225,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.863s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48226,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.863s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48227,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.863s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48228,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.863s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48229,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.854s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48230,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.854s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48231,tp_dst=0 actions=output:49
 cookie=0x0, duration=20.854s, table=0, n_packets=11, n_bytes=594, idle_timeout=10, hard_timeout=30, reset_counts priority=65535,tcp,in_port=1,vlan_tci=0x0000/0x1fff,dl_src=b2:82:af:ac:84:e6,dl_dst=7e:f0:82:2b:4c:09,nw_src=10.10.0.1,nw_dst=10.0.0.4,nw_tos=0,tp_src=48232,tp_dst=0 actions=output:49
